App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
CrossingGuardJoe,InstructionsMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\menu\InstructionsMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\menu\InstructionsMenuStateTest.java,states\menu\InstructionsMenuState.java,states\menu\InstructionsMenuStateTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,MenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\menu\MenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\menu\MenuStateTest.java,states\menu\MenuState.java,states\menu\MenuStateTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,PauseMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\menu\PauseMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\menu\PauseMenuStateTest.java,states\menu\PauseMenuState.java,states\menu\PauseMenuStateTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,StatsMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\states\menu\StatsMenuState.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\states\menu\StatsMenuStateTest.java,states\menu\StatsMenuState.java,states\menu\StatsMenuStateTest.java,2,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,Color.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\viewer\Color.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\viewer\ColorTest.java,viewer\Color.java,viewer\ColorTest.java,3,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,ColorCustomize.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\viewer\ColorCustomize.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\viewer\ColorCustomizeTest.java,viewer\ColorCustomize.java,viewer\ColorCustomizeTest.java,3,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,Viewer.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\viewer\Viewer.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\viewer\ViewerTest.java,viewer\Viewer.java,viewer\ViewerTest.java,3,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,GameViewer.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\viewer\game\GameViewer.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\viewer\game\GameViewerTest.java,viewer\game\GameViewer.java,viewer\game\GameViewerTest.java,8,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,CarView.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\viewer\game\elements\CarView.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\viewer\game\elements\CarViewTest.java,viewer\game\elements\CarView.java,viewer\game\elements\CarViewTest.java,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
CrossingGuardJoe,JoeView.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\main\java\com\CrossingGuardJoe\viewer\game\elements\JoeView.java,C:\Users\Utilizador\Desktop\FEUP\MESW\project-crossing-guard-joe\src\test\java\com\CrossingGuardJoe\viewer\game\elements\JoeViewTest.java,viewer\game\elements\JoeView.java,viewer\game\elements\JoeViewTest.java,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
